iter	Passed	Remaining
311	8339	18388
312	8365	18361
313	8392	18336
314	8416	18302
315	8456	18304
316	8496	18305
317	8528	18290
318	8556	18266
319	8587	18248
320	8613	18220
321	8640	18193
322	8667	18167
323	8703	18159
324	8734	18139
325	8788	18170
326	8825	18163
327	8857	18146
328	8887	18126
329	8920	18112
330	8953	18095
331	8982	18074
332	9011	18049
333	9039	18025
334	9067	17998
335	9092	17967
336	9121	17944
337	9145	17911
338	9172	17884
339	9199	17858
340	9228	17834
341	9254	17805
342	9286	17788
343	9311	17757
344	9342	17737
345	9369	17709
346	9399	17687
347	9423	17654
348	9451	17630
349	9475	17598
350	9502	17570
351	9528	17540
352	9553	17510
353	9578	17479
354	9606	17454
355	9632	17425
356	9657	17394
357	9681	17361
358	9708	17334
359	9734	17305
360	9757	17271
361	9782	17240
362	9806	17208
363	9831	17177
364	9855	17145
365	9881	17116
366	9903	17082
367	9931	17056
368	9955	17023
369	9983	16998
370	10012	16974
371	10036	16943
372	10063	16915
373	10087	16884
374	10112	16853
375	10138	16826
376	10164	16797
377	10190	16768
378	10216	16739
379	10243	16713
380	10273	16690
381	10300	16663
382	10327	16636
383	10353	16608
384	10383	16586
385	10413	16563
386	10443	16543
387	10469	16514
388	10503	16497
389	10531	16472
390	10559	16446
391	10587	16422
392	10615	16395
393	10642	16369
394	10667	16338
395	10698	16318
396	10724	16289
397	10747	16256
398	10775	16230
399	10804	16206
400	10834	16184
401	10864	16161
402	10893	16137
403	10922	16113
404	10950	16088
405	10978	16062
406	11008	16039
407	11036	16014
408	11065	15989
409	11090	15959
410	11117	15932
411	11146	15907
412	11178	15888
413	11202	15856
414	11231	15831
415	11261	15809
416	11288	15782
417	11316	15756
418	11340	15724
419	11365	15695
420	11392	15667
421	11420	15642
422	11446	15613
423	11473	15586
424	11498	15556
425	11527	15532
426	11549	15499
427	11573	15467
428	11598	15437
429	11624	15409
430	11650	15380
431	11674	15349
432	11699	15319
433	11727	15294
434	11750	15262
435	11777	15234
436	11804	15208
437	11829	15178
438	11852	15146
439	11879	15118
440	11904	15089
441	11928	15058
442	11949	15024
443	11973	14993
444	11995	14960
445	12023	14935
446	12047	14903
447	12072	14875
448	12095	14843
449	12118	14811
450	12141	14780
451	12168	14753
452	12195	14726
453	12221	14697
454	12247	14669
455	12274	14643
456	12296	14610
457	12317	14576
458	12343	14548
459	12367	14518
460	12392	14488
461	12416	14458
462	12439	14427
463	12465	14399
464	12487	14367
465	12512	14337
466	12536	14308
467	12564	14282
468	12587	14251
469	12610	14220
470	12638	14194
471	12665	14168
472	12690	14138
473	12718	14114
474	12744	14086
475	12765	14053
476	12793	14026
477	12820	14000
478	12849	13976
479	12872	13944
480	12893	13912
481	12923	13888
482	12943	13855
483	12970	13828
484	12997	13801
485	13024	13774
486	13049	13746
487	13076	13719
488	13101	13691
489	13129	13665
490	13161	13644
491	13183	13612
492	13208	13584
493	13235	13557
494	13262	13530
495	13288	13503
496	13316	13477
497	13344	13451
498	13371	13425
499	13396	13396
500	13418	13365
501	13444	13336
502	13473	13312
503	13495	13281
504	13522	13255
505	13546	13225
506	13573	13198
507	13599	13171
508	13624	13142
509	13649	13114
510	13673	13085
511	13697	13055
512	13722	13026
513	13745	12996
514	13769	12967
515	13795	12940
516	13822	12913
517	13849	12886
518	13873	12857
519	13901	12832
520	13928	12805
521	13951	12775
522	13975	12746
523	14003	12720
524	14029	12693
525	14055	12666
526	14079	12636
527	14109	12612
528	14133	12583
529	14160	12557
530	14184	12528
531	14213	12503
532	14239	12475
533	14267	12450
534	14296	12425
535	14323	12399
536	14349	12371
537	14378	12347
538	14407	12322
539	14436	12297
540	14463	12270
541	14490	12244
542	14516	12217
543	14543	12191
544	14574	12167
545	14602	12141
546	14627	12113
547	14654	12087
548	14680	12060
549	14708	12034
550	14734	12006
551	14758	11977
552	14784	11950
553	14807	11921
554	14834	11894
555	14859	11866
556	14883	11837
557	14909	11810
558	14939	11785
559	14964	11757
560	14989	11729
561	15011	11698
562	15039	11673
563	15066	11646
564	15090	11618
565	15113	11589
566	15141	11563
567	15168	11536
568	15195	11510
569	15221	11482
570	15246	11454
571	15272	11427
572	15296	11398
573	15323	11372
574	15349	11345
575	15375	11318
576	15401	11291
577	15423	11260
578	15450	11234
579	15474	11205
580	15503	11180
581	15528	11152
582	15553	11124
583	15574	11093
584	15599	11066
585	15623	11038
586	15649	11010
587	15678	10985
588	15705	10959
589	15729	10930
590	15751	10901
591	15777	10873
592	15802	10845
593	15824	10816
594	15848	10787
595	15871	10758
596	15897	10731
597	15924	10704
598	15947	10676
599	15974	10649
600	15998	10621
601	16025	10595
602	16048	10566
603	16069	10535
604	16091	10506
605	16116	10478
606	16137	10447
607	16161	10419
608	16184	10391
609	16208	10362
610	16234	10335
611	16258	10307
612	16281	10278
613	16302	10248
614	16328	10221
615	16352	10193
616	16375	10164
617	16402	10138
618	16429	10112
619	16456	10086
620	16480	10057
621	16506	10031
622	16528	10001
623	16555	9975
624	16585	9951
625	16614	9926
626	16644	9901
627	16675	9878
628	16701	9851
629	16730	9825
630	16760	9801
631	16788	9775
632	16814	9748
633	16844	9723
634	16874	9699
635	16902	9674
636	16929	9647
637	16958	9622
638	16984	9595
639	17008	9567
640	17030	9538
641	17058	9512
642	17088	9487
643	17111	9459
644	17136	9431
645	17161	9404
646	17187	9377
647	17213	9350
648	17239	9323
649	17265	9296
650	17288	9268
651	17318	9243
652	17345	9217
653	17370	9189
654	17394	9162
655	17422	9136
656	17450	9110
657	17472	9081
658	17494	9052
659	17519	9025
660	17547	8999
661	17574	8973
662	17600	8946
663	17626	8919
664	17651	8891
665	17677	8865
666	17703	8838
667	17728	8810
668	17754	8784
669	17783	8759
670	17806	8730
671	17833	8704
672	17858	8677
673	17887	8651
674	17921	8628
675	17946	8601
676	17974	8575
677	18004	8550
678	18030	8523
679	18060	8499
680	18088	8472
681	18114	8446
682	18144	8421
683	18175	8396
684	18200	8369
685	18227	8343
686	18258	8318
687	18288	8293
688	18316	8267
689	18341	8240
690	18366	8213
691	18395	8187
692	18423	8161
693	18455	8137
694	18495	8116
695	18533	8095
696	18558	8067
697	18585	8041
698	18606	8012
699	18629	7984
700	18661	7959
701	18687	7932
702	18710	7904
703	18734	7876
704	18761	7850
705	18792	7825
706	18822	7800
707	18848	7773
708	18878	7748
709	18907	7722
710	18932	7695
711	18958	7668
712	18989	7643
713	19016	7617
714	19041	7589
715	19067	7563
716	19094	7536
717	19117	7508
718	19144	7481
719	19168	7454
720	19194	7427
721	19221	7401
722	19244	7373
723	19272	7346
724	19298	7320
725	19323	7292
726	19350	7266
727	19373	7238
728	19398	7211
729	19426	7185
730	19447	7156
731	19475	7130
732	19499	7102
733	19521	7074
734	19546	7047
735	19571	7020
736	19594	6992
737	19622	6966
738	19646	6938
739	19671	6911
740	19696	6884
741	19721	6857
742	19746	6830
743	19769	6802
744	19795	6775
745	19822	6749
746	19849	6722
747	19875	6695
748	19898	6668
749	19920	6640
750	19944	6612
751	19968	6585
752	19992	6558
753	20016	6530
754	20036	6501
755	20063	6475
756	20090	6448
757	20116	6422
758	20141	6395
759	20165	6367
760	20189	6340
761	20214	6313
762	20239	6286
763	20265	6260
764	20288	6232
765	20310	6204
766	20334	6177
767	20357	6149
768	20379	6121
769	20403	6094
770	20428	6067
771	20454	6040
772	20479	6014
773	20506	5987
774	20529	5960
775	20556	5933
776	20581	5906
777	20605	5879
778	20630	5852
779	20656	5826
780	20682	5799
781	20710	5773
782	20737	5747
783	20760	5719
784	20785	5692
785	20811	5666
786	20838	5639
787	20860	5612
788	20883	5584
789	20907	5557
790	20929	5530
791	20952	5502
792	20976	5475
793	20999	5448
794	21024	5421
795	21048	5394
796	21075	5368
797	21103	5341
798	21128	5315
799	21152	5288
800	21180	5262
801	21209	5236
802	21235	5209
803	21260	5182
804	21284	5155
805	21311	5129
806	21336	5102
807	21365	5076
808	21388	5049
809	21414	5023
810	21441	4996
811	21461	4969
812	21488	4942
813	21514	4916
814	21540	4889
815	21563	4862
816	21585	4835
817	21611	4808
818	21634	4781
819	21662	4755
820	21687	4728
821	21714	4702
822	21737	4675
823	21762	4648
824	21789	4621
825	21814	4595
826	21838	4568
827	21861	4541
828	21886	4514
829	21912	4488
830	21940	4462
831	21963	4434
832	21988	4408
833	22015	4381
834	22040	4355
835	22068	4329
836	22095	4302
837	22123	4276
838	22153	4251
839	22176	4224
840	22201	4197
841	22222	4169
842	22246	4143
843	22274	4117
844	22297	4090
845	22323	4063
846	22352	4037
847	22378	4011
848	22406	3985
849	22432	3958
850	22458	3932
851	22483	3905
852	22507	3878
853	22535	3852
854	22560	3826
855	22587	3799
856	22611	3772
857	22636	3746
858	22663	3720
859	22689	3693
860	22713	3666
861	22740	3640
862	22765	3613
863	22792	3587
864	22814	3560
865	22844	3534
866	22867	3507
867	22897	3482
868	22921	3455
869	22946	3428
870	22967	3401
871	22992	3375
872	23018	3348
873	23046	3322
874	23068	3295
875	23092	3268
876	23114	3241
877	23136	3214
878	23164	3188
879	23190	3162
880	23212	3135
881	23239	3109
882	23265	3082
883	23291	3056
884	23316	3029
885	23342	3003
886	23366	2976
887	23391	2950
888	23413	2923
889	23437	2896
890	23460	2870
891	23486	2843
892	23511	2817
893	23537	2790
894	23561	2764
895	23582	2737
896	23605	2710
897	23628	2683
898	23650	2657
899	23675	2630
900	23699	2604
901	23720	2577
902	23744	2550
903	23769	2524
904	23793	2497
905	23820	2471
906	23842	2444
907	23868	2418
908	23895	2392
909	23919	2365
910	23941	2338
911	23967	2312
912	23994	2286
913	24022	2260
914	24046	2233
915	24073	2207
916	24101	2181
917	24126	2155
918	24151	2128
919	24173	2102
920	24201	2075
921	24229	2049
922	24251	2023
923	24276	1996
924	24300	1970
925	24326	1944
926	24351	1917
927	24375	1891
928	24396	1864
929	24424	1838
930	24446	1811
931	24473	1785
932	24498	1759
933	24523	1732
934	24551	1706
935	24578	1680
936	24601	1654
937	24628	1627
938	24655	1601
939	24678	1575
940	24702	1548
941	24728	1522
942	24756	1496
943	24783	1470
944	24808	1443
945	24830	1417
946	24854	1390
947	24882	1364
948	24905	1338
949	24927	1311
950	24956	1285
951	24981	1259
952	25006	1233
953	25037	1207
954	25059	1180
955	25082	1154
956	25112	1128
957	25137	1102
958	25163	1075
959	25191	1049
960	25213	1023
961	25239	997
962	25261	970
963	25288	944
964	25314	918
965	25339	891
966	25369	865
967	25395	839
968	25420	813
969	25453	787
970	25481	761
971	25507	734
972	25534	708
973	25558	682
974	25584	656
975	25610	629
976	25634	603
977	25661	577
978	25684	550
979	25706	524
980	25729	498
981	25757	472
982	25782	445
983	25811	419
984	25835	393
985	25863	367
986	25888	340
987	25912	314
988	25938	288
989	25965	262
990	25988	236
991	26015	209
992	26039	183
993	26064	157
994	26089	131
995	26121	104
996	26151	78
997	26175	52
998	26199	26
999	26226	0
