iter	RMSE
0	75.83787199
1	73.25911336
2	71.17959805
3	69.35033928
4	67.76929164
5	66.30430867
6	64.96279341
7	63.88206416
8	62.98643351
9	62.03019327
10	61.14983111
11	60.5123533
12	59.83781318
13	59.22832615
14	58.68611128
15	58.10955111
16	57.70071017
17	57.16864033
18	56.77880672
19	56.45194955
20	56.08611702
21	55.76323351
22	55.46060607
23	55.15726351
24	54.93191903
25	54.58948231
26	54.36768413
27	54.08467524
28	53.77930724
29	53.56234915
30	53.38445832
31	53.11138775
32	52.92590032
33	52.7251645
34	52.4911105
35	52.20522283
36	51.99759807
37	51.85255379
38	51.67137409
39	51.53690819
40	51.35736311
41	51.18241526
42	50.9831244
43	50.86216342
44	50.70809785
45	50.60605156
46	50.43027285
47	50.3111418
48	50.17293215
49	50.05312831
50	49.94555717
51	49.82543083
52	49.65901935
53	49.55660909
54	49.4434375
55	49.36034712
56	49.20081246
57	49.08633625
58	49.01861898
59	48.92781474
60	48.83436934
61	48.7518689
62	48.63581225
63	48.56728694
64	48.43172083
65	48.31558137
66	48.23408688
67	48.12341055
68	48.06112824
69	47.97487905
70	47.86065402
71	47.78726075
72	47.70931333
73	47.62295298
74	47.57278245
75	47.50944888
76	47.42566561
77	47.34870799
78	47.29906974
79	47.25515599
80	47.21193818
81	47.14978975
82	47.06182941
83	47.00410474
84	46.95454168
85	46.90391319
86	46.84908251
87	46.782838
88	46.73345062
89	46.67690243
90	46.63971966
91	46.57248716
92	46.51615688
93	46.45399749
94	46.41200269
95	46.34456916
96	46.31042257
97	46.26633802
98	46.20979088
99	46.0867879
100	46.05007129
101	46.01329441
102	45.95140446
103	45.8927503
104	45.84680522
105	45.80549169
106	45.7657021
107	45.70466473
108	45.66025936
109	45.5890813
110	45.54460803
111	45.48710434
112	45.43037248
113	45.38169653
114	45.31763827
115	45.2826684
116	45.20494504
117	45.16052992
118	45.13861678
119	45.10890521
120	45.05197107
121	45.02627459
122	44.98847729
123	44.95794002
124	44.91609437
125	44.87891473
126	44.83579959
127	44.81201841
128	44.76243448
129	44.70276275
130	44.64907091
131	44.60971617
132	44.58167031
133	44.54074172
134	44.51278322
135	44.48599366
136	44.43379996
137	44.38467733
138	44.35743252
139	44.33106754
140	44.28803306
141	44.25466528
142	44.19466622
143	44.14715165
144	44.11675443
145	44.08779341
146	44.02733468
147	43.95718104
148	43.93972111
149	43.90035029
150	43.87603328
151	43.83903585
152	43.79302808
153	43.7686766
154	43.71199485
155	43.67053195
156	43.62610961
157	43.59864679
158	43.54685594
159	43.5033862
160	43.47123942
161	43.44900045
162	43.41761693
163	43.37825236
164	43.31385748
165	43.27758852
166	43.2421628
167	43.18380862
168	43.12219347
169	43.10231482
170	43.06551093
171	43.03655154
172	43.00672093
173	42.97211398
174	42.93972308
175	42.90594163
176	42.87737231
177	42.8187665
178	42.78874131
179	42.7473753
180	42.69604643
181	42.636823
182	42.6087211
183	42.55073253
184	42.51249449
185	42.47392993
186	42.45309999
187	42.42606712
188	42.41071529
189	42.36566056
190	42.33115141
191	42.31318
192	42.27835828
193	42.24721586
194	42.19920318
195	42.17687982
196	42.151583
197	42.117408
198	42.07688083
199	42.06214001
200	42.0168607
201	41.96751893
202	41.92777732
203	41.90592388
204	41.87346695
205	41.84996427
206	41.82996107
207	41.80545448
208	41.78581817
209	41.76041852
210	41.74799619
211	41.72151485
212	41.7092168
213	41.67173059
214	41.65347711
215	41.62287322
216	41.6077191
217	41.58652311
218	41.55469309
219	41.52791298
220	41.48971897
221	41.45451538
222	41.42380603
223	41.38385814
224	41.33328016
225	41.30337345
226	41.27884145
227	41.26032398
228	41.24392636
229	41.22694951
230	41.17925642
231	41.16046629
232	41.14484705
233	41.13047591
234	41.0992137
235	41.08490035
236	41.05845858
237	41.03812794
238	41.02744533
239	40.98995
240	40.95863385
241	40.940912
242	40.91156401
243	40.8697435
244	40.82212527
245	40.78221918
246	40.76210376
247	40.73246395
248	40.71864404
249	40.68081781
250	40.62351691
251	40.60529497
252	40.57530919
253	40.54549427
254	40.52648777
255	40.50602026
256	40.48146924
257	40.46673785
258	40.43303341
259	40.41875184
260	40.38023349
261	40.35809035
262	40.34037466
263	40.31325144
264	40.30002549
265	40.27186549
266	40.23962514
267	40.21675429
268	40.19436465
269	40.17883411
270	40.15978182
271	40.14172871
272	40.11508887
273	40.08977525
274	40.07436831
275	40.04907794
276	40.02101563
277	40.00621061
278	39.98707202
279	39.96493721
280	39.95139131
281	39.9384659
282	39.92399753
283	39.9030011
284	39.88159197
285	39.858561
286	39.85042578
287	39.84029072
288	39.81611654
289	39.79766274
290	39.78122255
291	39.76265675
292	39.7466981
293	39.73113636
294	39.70084372
295	39.68186212
296	39.65287365
297	39.6350113
298	39.61960665
299	39.60303517
300	39.58129129
301	39.57098556
302	39.53933176
303	39.50540187
304	39.4849651
305	39.4725117
306	39.46031382
307	39.44624656
308	39.42878413
309	39.41730974
310	39.39823463
311	39.37140001
312	39.35640058
313	39.34311252
314	39.33113207
315	39.30181946
316	39.28322538
317	39.25991783
318	39.23764218
319	39.21305564
320	39.20130146
321	39.18225169
322	39.1650555
323	39.14847513
324	39.13602814
325	39.11658087
326	39.08087158
327	39.0693413
328	39.05814917
329	39.03951752
330	39.02560069
331	39.01354072
332	38.99791805
333	38.98797516
334	38.9750807
335	38.9608708
336	38.93876361
337	38.9253027
338	38.9117977
339	38.89310794
340	38.86719832
341	38.85256237
342	38.83010737
343	38.8106396
344	38.79188945
345	38.78085662
346	38.76761851
347	38.75575486
348	38.74220616
349	38.73290738
350	38.71745972
351	38.68939437
352	38.68130701
353	38.67052878
354	38.65319797
355	38.64048754
356	38.61541941
357	38.60012375
358	38.56324881
359	38.55039339
360	38.52695054
361	38.51529184
362	38.50707532
363	38.49401576
364	38.46681525
365	38.45331036
366	38.4392071
367	38.42863475
368	38.41448586
369	38.40155114
370	38.38539597
371	38.3744819
372	38.36073388
373	38.34854388
374	38.33756985
375	38.32405948
376	38.30416884
377	38.28389017
378	38.27317333
379	38.25945898
380	38.23744099
381	38.22617545
382	38.21428463
383	38.2039571
384	38.1872366
385	38.17032701
386	38.16059207
387	38.13486714
388	38.11718492
389	38.10669107
390	38.0922153
391	38.07552176
392	38.06376773
393	38.04381428
394	38.01515778
395	37.99757531
396	37.98335604
397	37.96929955
398	37.9491588
399	37.93095451
400	37.9189525
401	37.89732836
402	37.88065596
403	37.8552684
404	37.8358078
405	37.82001397
406	37.79868717
407	37.78280001
408	37.77010028
409	37.75875293
410	37.75016023
411	37.72934416
412	37.71333907
413	37.70518986
414	37.68427805
415	37.65902011
416	37.64243644
417	37.62576747
418	37.61220345
419	37.6016418
420	37.58998804
421	37.57528239
422	37.56359149
423	37.55386377
424	37.53950668
425	37.52679441
426	37.51487214
427	37.49564692
428	37.48142628
429	37.45979256
430	37.44552267
431	37.43653465
432	37.42231904
433	37.40159629
434	37.38650312
435	37.37534721
436	37.36070421
437	37.34955109
438	37.33204741
439	37.30419977
440	37.29658608
441	37.28495685
442	37.27702938
443	37.26942902
444	37.26271845
445	37.251234
446	37.24190847
447	37.22606579
448	37.21608753
449	37.20866507
450	37.19636196
451	37.17208801
452	37.15766933
453	37.14607381
454	37.13578748
455	37.12098586
456	37.11100208
457	37.10141583
458	37.07782682
459	37.06612849
460	37.05712097
461	37.04347923
462	37.03731556
463	37.01868533
464	37.00366799
465	36.99506026
466	36.98605464
467	36.96837975
468	36.95895951
469	36.94538717
470	36.933164
471	36.92107461
472	36.90453168
473	36.89143601
474	36.88170633
475	36.87495432
476	36.86734585
477	36.84508856
478	36.81409638
479	36.80451572
480	36.79712593
481	36.7836759
482	36.7777516
483	36.76729752
484	36.7469428
485	36.73521707
486	36.72368341
487	36.7020481
488	36.68604589
489	36.66580047
490	36.65294465
491	36.63427886
492	36.62400438
493	36.61171616
494	36.59564479
495	36.57737307
496	36.55550151
497	36.54602185
498	36.53426299
499	36.52103777
500	36.5116033
501	36.4954449
502	36.47432853
503	36.46583501
504	36.45496887
505	36.43400337
506	36.42251033
507	36.41598118
508	36.39441805
509	36.3862924
510	36.37271077
511	36.3594001
512	36.34715997
513	36.33950934
514	36.33092014
515	36.31441791
516	36.30435785
517	36.28540424
518	36.27560955
519	36.26822374
520	36.24926295
521	36.23695991
522	36.22780927
523	36.21476934
524	36.20566053
525	36.19794649
526	36.19054033
527	36.18173341
528	36.17178341
529	36.16201961
530	36.15416526
531	36.13854876
532	36.13128951
533	36.119108
534	36.10598867
535	36.09536549
536	36.07673865
537	36.05984919
538	36.04409406
539	36.03460265
540	36.01882557
541	36.00673993
542	35.99887779
543	35.98903687
544	35.97584185
545	35.96867915
546	35.96217644
547	35.9522673
548	35.93827358
549	35.92991289
550	35.91913894
551	35.91089741
552	35.89966349
553	35.88945399
554	35.87858696
555	35.85988053
556	35.85078678
557	35.83527173
558	35.82548591
559	35.81914647
560	35.80408099
561	35.79784205
562	35.78095811
563	35.76925739
